class index,filepaths,labels,data set
0,train/savory/0001.jpg,savory,train
0,train/savory/0002.jpg,savory,train
0,train/savory/0003.jpg,savory,train
0,train/savory/0004.jpg,savory,train
0,train/savory/0005.jpg,savory,train
0,train/savory/0006.jpg,savory,train
0,train/savory/0007.jpg,savory,train
0,train/savory/0008.jpg,savory,train
0,train/savory/0009.jpg,savory,train
0,train/savory/0010.jpg,savory,train
0,train/savory/0011.jpg,savory,train
0,train/savory/0012.jpg,savory,train
0,train/savory/0013.jpg,savory,train
0,train/savory/0014.jpg,savory,train
0,train/savory/0015.jpg,savory,train
0,train/savory/0016.jpg,savory,train
0,train/savory/0017.jpg,savory,train
0,train/savory/0018.jpg,savory,train
0,train/savory/0019.jpg,savory,train
0,train/savory/0020.jpg,savory,train
0,train/savory/0021.jpg,savory,train
0,train/savory/0022.jpg,savory,train
0,train/savory/0023.jpg,savory,train
0,train/savory/0024.jpg,savory,train
0,train/savory/0025.jpg,savory,train
0,train/savory/0026.jpg,savory,train
0,train/savory/0027.jpg,savory,train
0,train/savory/0028.jpg,savory,train
0,train/savory/0029.jpg,savory,train
0,train/savory/0030.jpg,savory,train
0,train/savory/0031.jpg,savory,train
0,train/savory/0032.jpg,savory,train
0,train/savory/0033.jpg,savory,train
0,train/savory/0034.jpg,savory,train
0,train/savory/0035.jpg,savory,train
0,train/savory/0036.jpg,savory,train
0,train/savory/0037.jpg,savory,train
0,train/savory/0038.jpg,savory,train
0,train/savory/0039.jpg,savory,train
0,train/savory/0040.jpg,savory,train
0,train/savory/0041.jpg,savory,train
0,train/savory/0042.jpg,savory,train
0,train/savory/0043.jpg,savory,train
0,train/savory/0044.jpg,savory,train
0,train/savory/0045.jpg,savory,train
0,train/savory/0046.jpg,savory,train
0,train/savory/0047.jpg,savory,train
0,train/savory/0048.jpg,savory,train
0,train/savory/0049.jpg,savory,train
0,train/savory/0050.jpg,savory,train
0,train/savory/0051.jpg,savory,train
0,train/savory/0052.jpg,savory,train
0,train/savory/0053.jpg,savory,train
0,train/savory/0054.jpg,savory,train
0,train/savory/0055.jpg,savory,train
0,train/savory/0056.jpg,savory,train
0,train/savory/0057.jpg,savory,train
0,train/savory/0058.jpg,savory,train
0,train/savory/0059.jpg,savory,train
0,train/savory/0060.jpg,savory,train
0,train/savory/0061.jpg,savory,train
0,train/savory/0062.jpg,savory,train
0,train/savory/0063.jpg,savory,train
0,train/savory/0064.jpg,savory,train
0,train/savory/0065.jpg,savory,train
0,train/savory/0066.jpg,savory,train
0,train/savory/0067.jpg,savory,train
0,train/savory/0068.jpg,savory,train
0,train/savory/0069.jpg,savory,train
0,train/savory/0070.jpg,savory,train
0,train/savory/0071.jpg,savory,train
0,train/savory/0072.jpg,savory,train
0,train/savory/0073.jpg,savory,train
0,train/savory/0074.jpg,savory,train
0,train/savory/0075.jpg,savory,train
0,train/savory/0076.jpg,savory,train
0,train/savory/0077.jpg,savory,train
0,train/savory/0078.jpg,savory,train
0,train/savory/0079.jpg,savory,train
0,train/savory/0080.jpg,savory,train
0,train/savory/0081.jpg,savory,train
0,train/savory/0082.jpg,savory,train
0,train/savory/0083.jpg,savory,train
0,train/savory/0084.jpg,savory,train
0,train/savory/0085.jpg,savory,train
0,train/savory/0086.jpg,savory,train
0,train/savory/0087.jpg,savory,train
0,train/savory/0088.jpg,savory,train
0,train/savory/0089.jpg,savory,train
0,train/savory/0090.jpg,savory,train
0,train/savory/0091.jpg,savory,train
0,train/savory/0092.jpg,savory,train
0,train/savory/0093.jpg,savory,train
0,train/savory/0094.jpg,savory,train
0,train/savory/0095.jpg,savory,train
